,city,local,parameter,value,unit
824,Barcelona,2020-02-23T01:00:00+01:00,no2,83,µg/m³
825,Barcelona,2020-02-23T00:00:00+01:00,no2,89,µg/m³
826,Barcelona,2020-02-22T23:00:00+01:00,no2,88,µg/m³
827,Barcelona,2020-02-22T22:00:00+01:00,no2,61,µg/m³
828,Barcelona,2020-02-22T21:00:00+01:00,no2,45,µg/m³
829,Barcelona,2020-02-22T20:00:00+01:00,no2,42,µg/m³
830,Barcelona,2020-02-22T19:00:00+01:00,no2,49,µg/m³
831,Barcelona,2020-02-22T18:00:00+01:00,no2,41,µg/m³
832,Barcelona,2020-02-22T17:00:00+01:00,no2,24,µg/m³
833,Barcelona,2020-02-22T16:00:00+01:00,no2,17,µg/m³
834,Barcelona,2020-02-22T15:00:00+01:00,no2,18,µg/m³
835,Barcelona,2020-02-22T14:00:00+01:00,no2,17,µg/m³
836,Barcelona,2020-02-22T13:00:00+01:00,no2,21,µg/m³
837,Barcelona,2020-02-22T12:00:00+01:00,no2,29,µg/m³
838,Barcelona,2020-02-22T11:00:00+01:00,no2,24,µg/m³
839,Barcelona,2020-02-22T10:00:00+01:00,no2,34,µg/m³
840,Barcelona,2020-02-22T07:00:00+01:00,no2,60,µg/m³
841,Barcelona,2020-02-22T06:00:00+01:00,no2,55,µg/m³
842,Barcelona,2020-02-22T05:00:00+01:00,no2,23,µg/m³
843,Barcelona,2020-02-22T04:00:00+01:00,no2,16,µg/m³
844,Barcelona,2020-02-22T03:00:00+01:00,no2,35,µg/m³
845,Barcelona,2020-02-22T02:00:00+01:00,no2,28,µg/m³
846,Barcelona,2020-02-22T01:00:00+01:00,no2,35,µg/m³
847,Barcelona,2020-02-22T00:00:00+01:00,no2,37,µg/m³
848,Barcelona,2020-02-21T23:00:00+01:00,no2,37,µg/m³
849,Barcelona,2020-02-21T22:00:00+01:00,no2,33,µg/m³
850,Barcelona,2020-02-21T21:00:00+01:00,no2,37,µg/m³
851,Barcelona,2020-02-21T20:00:00+01:00,no2,45,µg/m³
852,Barcelona,2020-02-21T19:00:00+01:00,no2,38,µg/m³
853,Barcelona,2020-02-21T18:00:00+01:00,no2,26,µg/m³
854,Barcelona,2020-02-21T17:00:00+01:00,no2,20,µg/m³
855,Barcelona,2020-02-21T16:00:00+01:00,no2,17,µg/m³
856,Barcelona,2020-02-21T15:00:00+01:00,no2,21,µg/m³
857,Barcelona,2020-02-21T14:00:00+01:00,no2,17,µg/m³
858,Barcelona,2020-02-21T13:00:00+01:00,no2,31,µg/m³
859,Barcelona,2020-02-21T12:00:00+01:00,no2,25,µg/m³
860,Barcelona,2020-02-21T11:00:00+01:00,no2,78,µg/m³
861,Barcelona,2020-02-21T10:00:00+01:00,no2,82,µg/m³
862,Barcelona,2020-02-21T09:00:00+01:00,no2,70,µg/m³
863,Barcelona,2020-02-21T08:00:00+01:00,no2,58,µg/m³
864,Barcelona,2020-02-21T07:00:00+01:00,no2,51,µg/m³
865,Barcelona,2020-02-21T06:00:00+01:00,no2,50,µg/m³
866,Barcelona,2020-02-21T05:00:00+01:00,no2,56,µg/m³
867,Barcelona,2020-02-21T04:00:00+01:00,no2,56,µg/m³
868,Barcelona,2020-02-21T03:00:00+01:00,no2,66,µg/m³
869,Barcelona,2020-02-21T02:00:00+01:00,no2,69,µg/m³
870,Barcelona,2020-02-21T01:00:00+01:00,no2,77,µg/m³
871,Barcelona,2020-02-21T00:00:00+01:00,no2,79,µg/m³
872,Barcelona,2020-02-20T23:00:00+01:00,no2,88,µg/m³
873,Barcelona,2020-02-20T22:00:00+01:00,no2,88,µg/m³
874,Barcelona,2020-02-20T21:00:00+01:00,no2,61,µg/m³
875,Barcelona,2020-02-20T20:00:00+01:00,no2,55,µg/m³
876,Barcelona,2020-02-20T19:00:00+01:00,no2,37,µg/m³
877,Barcelona,2020-02-20T18:00:00+01:00,no2,21,µg/m³
878,Barcelona,2020-02-20T17:00:00+01:00,no2,13,µg/m³
879,Barcelona,2020-02-20T16:00:00+01:00,no2,13,µg/m³
880,Barcelona,2020-02-20T15:00:00+01:00,no2,15,µg/m³
881,Barcelona,2020-02-20T14:00:00+01:00,no2,21,µg/m³
882,Barcelona,2020-02-20T13:00:00+01:00,no2,37,µg/m³
883,Barcelona,2020-02-20T12:00:00+01:00,no2,31,µg/m³
884,Barcelona,2020-02-20T11:00:00+01:00,no2,27,µg/m³
885,Barcelona,2020-02-20T10:00:00+01:00,no2,72,µg/m³
886,Barcelona,2020-02-20T09:00:00+01:00,no2,64,µg/m³
887,Barcelona,2020-02-20T08:00:00+01:00,no2,59,µg/m³
888,Barcelona,2020-02-20T07:00:00+01:00,no2,51,µg/m³
889,Barcelona,2020-02-20T06:00:00+01:00,no2,47,µg/m³
890,Barcelona,2020-02-20T05:00:00+01:00,no2,44,µg/m³
891,Barcelona,2020-02-20T04:00:00+01:00,no2,53,µg/m³
